"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"417","EGGR 566","51.2960311992925","-1.82084640051333","55.22","34.5114","43.0712","-1.7546","DZA9","","","",""
"418","StKM 1-2065","343.99935709927","17.81105493619","55.22","50.5366","-14.4917","16.8906","M1.0V","0.46","640320.0","3000.0","0.3"
"419","WT 792","323.592905715312","-43.2696223265636","55.26","32.3834","-23.8813","-37.877","M5/5.5","0.3","417600.0","3000.0","0.3"
"420","WISEP J132004.16+603426.2","200.017352","60.573973","55.28","-25.5183","-9.2967","48.1484","T6.5","","","",""
"421","2MASS J11322058-3809562","173.085775","-38.165623","55.28","-43.1466","5.2322","-34.1595","L7.0","","","",""
"422","MCC 759","242.26308652619","52.94387687467","55.28","-15.5036","-29.4839","44.116","M0.5V","0.5","696000.0","3000.0","0.3"
"423","HD 177565","286.718601621199","-37.8106592792964","55.29","12.5659","-41.8349","-33.8958","G6V","0.98","1364160.0","5500.0","1.0"
"424","L  339-19","250.188553706612","-45.9998063573828","55.31","-13.0221","-36.1476","-39.7866","M2.5V","0.42","584640.0","3000.0","0.3"
"425","SCR J0708-6706","107.21783799655","-67.10872917965","55.32","-6.3696","20.5542","-50.9633","DC","","","",""
"426","LP  415-217","68.65763552578","19.10139681451","55.33","19.0281","48.6981","18.1062","M5.5Ve","0.3","417600.0","3000.0","0.3"
"427","Ross  992","213.820749913682","45.0148006763836","55.33","-32.4953","-21.7708","39.1343","M3V","0.38","528960.0","3000.0","0.3"
"428","G 261-23","306.211628989583","74.2068390707228","55.34","8.898","-12.1523","53.2509","M5.0","0.3","417600.0","3000.0","0.3"
"429","LSPM J1925+0938","291.37880964064","9.63981257809","55.36","19.8956","-50.8228","9.2702","M8/9V","0.18","250560.0","3000.0","0.3"
"430","LP  725-15","127.847739712557","-10.4982533037803","55.37","-33.4044","42.9907","-10.0887","M4V","0.34","473280.0","3000.0","0.3"
